# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1131.0000	-902.46	0.0000	-0.0038	0.0000e+00	-2.7762e-17	7.3380e-15
1131.0299	-894.55	0.0000	-0.0043	0.0000e+00	-3.1736e-17	7.4376e-15
1131.0598	-886.65	0.0000	-0.0050	0.0000e+00	-3.7038e-17	7.4364e-15
1131.0897	-878.74	0.0000	-0.0060	0.0000e+00	-4.4466e-17	7.4351e-15
1131.1196	-870.84	0.0000	-0.0075	0.0000e+00	-5.5621e-17	7.4339e-15
1131.1496	-862.94	0.0000	-0.0100	0.0000e+00	-7.4246e-17	7.4327e-15
1131.1795	-855.03	0.0000	-0.0150	0.0000e+00	-1.1163e-16	7.4314e-15
1131.2094	-847.13	0.0000	-0.0303	0.0000e+00	-2.2481e-16	7.4302e-15
1131.2393	-839.22	0.7180	12.9140	5.3337e-15	9.5938e-14	7.4290e-15
1131.2692	-831.32	0.9322	0.1753	6.9240e-15	1.3019e-15	7.4277e-15
1131.2991	-823.41	1.0785	0.1881	8.0095e-15	1.3972e-15	7.4265e-15
1131.3290	-815.51	0.8616	0.1689	6.3977e-15	1.2539e-15	7.4253e-15
1131.3589	-807.61	0.8377	0.1666	6.2188e-15	1.2369e-15	7.4240e-15
1131.3888	-799.70	1.1667	0.1956	8.6601e-15	1.4516e-15	7.4228e-15
1131.4187	-791.80	0.6811	0.1511	5.0552e-15	1.1215e-15	7.4216e-15
1131.4487	-783.89	0.8606	0.1691	6.3858e-15	1.2545e-15	7.4203e-15
1131.4786	-775.99	0.8649	0.1695	6.4169e-15	1.2576e-15	7.4191e-15
1131.5085	-768.08	1.1365	0.1933	8.4302e-15	1.4342e-15	7.4179e-15
1131.5384	-760.18	1.1971	0.1983	8.8783e-15	1.4709e-15	7.4167e-15
1131.5683	-752.28	1.0387	0.1852	7.7022e-15	1.3734e-15	7.4154e-15
1131.5982	-744.37	1.0106	0.1828	7.4925e-15	1.3553e-15	7.4142e-15
1131.6281	-736.47	1.0956	0.1902	8.1215e-15	1.4096e-15	7.4130e-15
1131.6580	-728.56	1.1636	0.1958	8.6243e-15	1.4514e-15	7.4118e-15
1131.6879	-720.66	1.0377	0.1854	7.6900e-15	1.3736e-15	7.4105e-15
1131.7178	-712.75	1.0385	0.1855	7.6946e-15	1.3741e-15	7.4093e-15
1131.7477	-704.85	0.9765	0.1801	7.2338e-15	1.3342e-15	7.4081e-15
1131.7777	-696.94	1.2174	0.2003	9.0170e-15	1.4835e-15	7.4069e-15
1131.8076	-689.04	0.9991	0.1821	7.3993e-15	1.3489e-15	7.4056e-15
1131.8375	-681.14	0.9723	0.1798	7.1994e-15	1.3312e-15	7.4044e-15
1131.8674	-673.23	0.7007	0.1539	5.1873e-15	1.1392e-15	7.4032e-15
1131.8973	-665.33	0.6047	0.1488	4.4762e-15	1.1015e-15	7.4020e-15
1131.9272	-657.42	0.7601	0.1600	5.6256e-15	1.1840e-15	7.4007e-15
1131.9571	-649.52	0.8081	0.1646	5.9792e-15	1.2182e-15	7.3995e-15
1131.9870	-641.61	1.1950	0.1985	8.8407e-15	1.4688e-15	7.3983e-15
1132.0169	-633.71	0.9823	0.1806	7.2664e-15	1.3360e-15	7.3971e-15
1132.0468	-625.81	1.2620	0.2056	9.3336e-15	1.5205e-15	7.3959e-15
1132.0768	-617.90	0.6094	0.1440	4.5063e-15	1.0645e-15	7.3946e-15
1132.1067	-610.00	1.0573	0.1869	7.8174e-15	1.3820e-15	7.3934e-15
1132.1366	-602.09	1.2417	0.2019	9.1792e-15	1.4925e-15	7.3922e-15
1132.1665	-594.19	1.2285	0.2008	9.0800e-15	1.4841e-15	7.3910e-15
1132.1964	-586.28	1.0542	0.1864	7.7902e-15	1.3777e-15	7.3898e-15
1132.2263	-578.38	0.9474	0.1770	7.0002e-15	1.3081e-15	7.3886e-15
1132.2562	-570.48	1.4854	0.2199	1.0973e-14	1.6244e-15	7.3873e-15
1132.2861	-562.57	0.8334	0.1663	6.1553e-15	1.2286e-15	7.3861e-15
1132.3160	-554.67	0.6152	0.1440	4.5435e-15	1.0637e-15	7.3849e-15
1132.3459	-546.76	0.9680	0.1786	7.1473e-15	1.3188e-15	7.3837e-15
1132.3759	-538.86	0.9816	0.1798	7.2465e-15	1.3270e-15	7.3825e-15
1132.4058	-530.95	0.7489	0.1579	5.5277e-15	1.1652e-15	7.3813e-15
1132.4357	-523.05	0.7560	0.1584	5.5794e-15	1.1692e-15	7.3801e-15
1132.4656	-515.15	0.6366	0.1460	4.6975e-15	1.0771e-15	7.3788e-15
1132.4955	-507.24	1.0843	0.1882	7.9997e-15	1.3887e-15	7.3776e-15
1132.5254	-499.34	1.2457	0.2013	9.1887e-15	1.4847e-15	7.3764e-15
1132.5553	-491.43	1.1385	0.1927	8.3966e-15	1.4210e-15	7.3752e-15
1132.5852	-483.53	0.6701	0.1495	4.9416e-15	1.1025e-15	7.3740e-15
1132.6151	-475.62	0.8107	0.1636	5.9771e-15	1.2062e-15	7.3728e-15
1132.6451	-467.72	0.9435	0.1759	6.9548e-15	1.2964e-15	7.3716e-15
1132.6750	-459.81	0.9758	0.1786	7.1918e-15	1.3165e-15	7.3704e-15
