# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1132.0000	-638.19	0.0000	0.0500	0.0000e+00	2.1849e-16	4.3699e-15
1132.0299	-630.28	0.9918	0.2139	5.3354e-15	1.1508e-15	5.3794e-15
1132.0598	-622.38	0.7638	0.1891	4.1056e-15	1.0166e-15	5.3753e-15
1132.0897	-614.47	0.9014	0.2045	4.8416e-15	1.0983e-15	5.3713e-15
1132.1196	-606.57	0.8416	0.1981	4.5174e-15	1.0633e-15	5.3673e-15
1132.1496	-598.67	0.5216	0.1589	2.7974e-15	8.5221e-16	5.3633e-15
1132.1795	-590.76	0.7260	0.1802	3.8911e-15	9.6551e-16	5.3593e-15
1132.2094	-582.86	0.6362	0.1739	3.4071e-15	9.3109e-16	5.3553e-15
1132.2393	-574.95	0.6448	0.1750	3.4503e-15	9.3651e-16	5.3513e-15
1132.2692	-567.05	1.0175	0.2166	5.4408e-15	1.1583e-15	5.3473e-15
1132.2991	-559.14	0.8242	0.1947	4.4039e-15	1.0402e-15	5.3433e-15
1132.3290	-551.24	0.8882	0.2031	4.7423e-15	1.0844e-15	5.3393e-15
1132.3589	-543.33	0.9314	0.2077	4.9693e-15	1.1080e-15	5.3353e-15
1132.3888	-535.43	0.7345	0.1857	3.9156e-15	9.8979e-16	5.3313e-15
1132.4187	-527.53	1.1255	0.2273	5.9957e-15	1.2107e-15	5.3273e-15
1132.4487	-519.62	0.6335	0.1735	3.3725e-15	9.2363e-16	5.3233e-15
1132.4786	-511.72	0.5239	0.1591	2.7868e-15	8.4607e-16	5.3193e-15
1132.5085	-503.81	0.9780	0.2126	5.1982e-15	1.1301e-15	5.3154e-15
1132.5384	-495.91	0.9994	0.2148	5.3083e-15	1.1408e-15	5.3114e-15
1132.5683	-488.00	0.6449	0.1749	3.4225e-15	9.2825e-16	5.3074e-15
1132.5982	-480.10	0.9163	0.2062	4.8597e-15	1.0937e-15	5.3034e-15
1132.6281	-472.20	0.8531	0.1995	4.5210e-15	1.0571e-15	5.2994e-15
1132.6580	-464.29	0.9985	0.2149	5.2877e-15	1.1382e-15	5.2954e-15
1132.6879	-456.39	0.7657	0.1897	4.0518e-15	1.0036e-15	5.2915e-15
1132.7178	-448.48	1.0393	0.2190	5.4951e-15	1.1582e-15	5.2875e-15
1132.7477	-440.58	0.9649	0.2115	5.0979e-15	1.1173e-15	5.2835e-15
1132.7777	-432.67	0.6755	0.1791	3.5664e-15	9.4544e-16	5.2795e-15
1132.8076	-424.77	0.7140	0.1838	3.7666e-15	9.6939e-16	5.2756e-15
1132.8375	-416.87	0.6340	0.1740	3.3424e-15	9.1733e-16	5.2716e-15
1132.8674	-408.96	0.8086	0.1948	4.2596e-15	1.0261e-15	5.2676e-15
1132.8973	-401.06	1.1166	0.2267	5.8776e-15	1.1935e-15	5.2637e-15
1132.9272	-393.15	0.8378	0.1979	4.4066e-15	1.0410e-15	5.2597e-15
1132.9571	-385.25	0.8819	0.2028	4.6353e-15	1.0657e-15	5.2557e-15
1132.9870	-377.34	0.9198	0.2068	4.8305e-15	1.0859e-15	5.2518e-15
1133.0169	-369.44	0.9549	0.2104	5.0112e-15	1.1043e-15	5.2478e-15
1133.0468	-361.54	0.9580	0.2107	5.0235e-15	1.1050e-15	5.2439e-15
1133.0768	-353.63	0.7479	0.1876	3.9189e-15	9.8292e-16	5.2399e-15
1133.1067	-345.73	0.5972	0.1690	3.1270e-15	8.8509e-16	5.2360e-15
1133.1366	-337.82	0.7215	0.1844	3.7748e-15	9.6466e-16	5.2320e-15
1133.1665	-329.92	0.9563	0.2104	4.9994e-15	1.1001e-15	5.2281e-15
1133.1964	-322.01	0.9698	0.2118	5.0662e-15	1.1067e-15	5.2241e-15
1133.2263	-314.11	1.3886	0.2515	7.2488e-15	1.3131e-15	5.2202e-15
1133.2562	-306.21	0.6731	0.1785	3.5112e-15	9.3112e-16	5.2162e-15
1133.2861	-298.30	0.7601	0.1888	3.9619e-15	9.8430e-16	5.2123e-15
1133.3160	-290.40	1.4893	0.2603	7.7571e-15	1.3559e-15	5.2084e-15
1133.3459	-282.49	1.0549	0.2207	5.4903e-15	1.1486e-15	5.2044e-15
1133.3759	-274.59	0.6367	0.1742	3.3114e-15	9.0611e-16	5.2005e-15
1133.4058	-266.68	0.7530	0.1884	3.9132e-15	9.7912e-16	5.1966e-15
1133.4357	-258.78	0.6768	0.1792	3.5146e-15	9.3064e-16	5.1926e-15
1133.4656	-250.87	0.7425	0.1871	3.8526e-15	9.7058e-16	5.1887e-15
1133.4955	-242.97	0.6002	0.1694	3.1117e-15	8.7842e-16	5.1848e-15
1133.5254	-235.07	0.8228	0.1962	4.2631e-15	1.0167e-15	5.1809e-15
1133.5553	-227.16	0.6696	0.1783	3.4667e-15	9.2306e-16	5.1770e-15
1133.5852	-219.26	0.5135	0.1579	2.6563e-15	8.1665e-16	5.1730e-15
1133.6151	-211.35	0.7078	0.1830	3.6589e-15	9.4572e-16	5.1691e-15
1133.6451	-203.45	0.7542	0.1885	3.8956e-15	9.7364e-16	5.1652e-15
1133.6750	-195.54	0.8267	0.1968	4.2668e-15	1.0155e-15	5.1613e-15
1133.7049	-187.64	1.0740	0.2227	5.5389e-15	1.1487e-15	5.1574e-15
1133.7348	-179.74	0.7495	0.1879	3.8623e-15	9.6855e-16	5.1535e-15
1133.7647	-171.83	0.5948	0.1689	3.0628e-15	8.6989e-16	5.1496e-15
1133.7946	-163.93	0.7330	0.1861	3.7719e-15	9.5751e-16	5.1457e-15
1133.8245	-156.02	0.5237	0.1593	2.6927e-15	8.1889e-16	5.1418e-15
1133.8544	-148.12	0.8339	0.1975	4.2845e-15	1.0149e-15	5.1379e-15
1133.8843	-140.21	0.9859	0.2138	5.0616e-15	1.0975e-15	5.1340e-15
1133.9142	-132.31	0.6573	0.1768	3.3719e-15	9.0680e-16	5.1301e-15
1133.9442	-124.41	0.7438	0.1873	3.8131e-15	9.5996e-16	5.1262e-15
1133.9741	-116.50	0.2326	0.1122	1.1916e-15	5.7489e-16	5.1223e-15
1134.0040	-108.60	0.5034	0.1568	2.5767e-15	8.0233e-16	5.1184e-15
1134.0339	-100.69	0.2591	0.1178	1.3251e-15	6.0248e-16	5.1146e-15
1134.0638	-92.79	0.1442	0.0941	7.3697e-16	4.8097e-16	5.1107e-15
1134.0937	-84.88	0.2625	0.1186	1.3403e-15	6.0559e-16	5.1068e-15
1134.1236	-76.98	0.3394	0.1322	1.7318e-15	6.7453e-16	5.1029e-15
1134.1535	-69.08	0.0978	0.0830	4.9877e-16	4.2320e-16	5.0991e-15
1134.1834	-61.17	0.3407	0.1330	1.7361e-15	6.7743e-16	5.0952e-15
1134.2133	-53.27	0.1801	0.1030	9.1676e-16	5.2457e-16	5.0913e-15
